label,message,,,
0,"Canara Bank: Your FD of ₹50,000 has mature on 05-ஜூலை-2024. please visit your branch to renew.",,,
0,RBI: നിങ്ങളുടെ ട്രാക്ക് OTP 987654 ആണ്.അവരോട് പങ്കെടുക്കരുത്.,,,
0,অনুরোধ করুন সাক্ষাৎকারটি সম্পন্ন করুন এবং আপনার Feedback শেয়ার করুন।,,,
0,আগামীকাল থেকে আপনার Amazon প্যাকেজ সরবরাহ করা হবে।,,,
1,आपका कार्ड 1234 में समाप्त हो गया है ब्लॉक किया गया है. http://card-activation.com पर पुनरारंभ करें.,,,
0,"आईडीबीआई बैंक: 3 जुलाई 2024 को फ्लिपकार्ट पर आपका हालिया ऋण ₹2,500 अनुमोदित किया गया है।",,,
0,"HDFC: உங்கள் ₹7,000 செக் வைக்கப்பட்டது மற்றும் சுத்தப்படுத்தப்பட்டது.",,,
1,"મિત્રો, તમે ₹50,000ની કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત.",,,
0,நீங்கள் நன்றாக செயல்படுகிறீர்கள் என்று நம்புகிறேன்.நான் விரைவில் புறக்கணிப்போம்!,,,
1,Get a 70% discount on Tata Sky subscription. Visit http://tata-sky-offer.com.,,,
0,ಸಾರ್ವಜನಿಕ ಸಭಾಂಗಣದಲ್ಲಿ ಸಭಾಂಗಣ ನಡೆಯಲಿದೆ.,,,
0,Thank you for your purchase! Your order is confirmed.,,,
0,"Bank of India: Your recent transaction of ₹1,200 at Snapdeal has been successfully completed.",,,
0,"হ্যাঁ, আমরা একটি সপ্তাহের ভ্রমণ পরিকল্পনা করি।",,,
0,দয়া করে আপনার বিশ্লেষণের জন্য সংযুক্ত কাগজটি খুঁজুন।,,,
0,ഒടുവിൽ ഒരു ഫെബ്രുവരി വിടാൻ പോകാം.,,,
0,Please complete the survey and share your feedback.,,,
1,ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ನಲ್ಲಿ.,,,
0,അടുത്ത ശനിയാഴ്ചയാണ് ഓഫീസിലെത്തുന്നത്.,,,
0,Webinar on Digital Marketing ಟ್ವೀಟ್ ಟ್ವೀಟ್ ಟ್ವೀಟ್ ಟ್ವೀಟ್ ಟ್ವೀಟ್,,,
0,"প্রিয় গ্রাহক, ₹15,000 আপনার অ্যাকাউন্টে ক্রেডিট করা হয়েছে XXXXXX5678 কোটাক Mahindra ব্যাংক সঙ্গে।",,,
1,உங்கள் இலவச Amazon Prime உறுப்பினராக http://amazon-prime.com.,,,
0,"COTAK: Your balance alert. Account XXXXXX1234 પર उपलब्ध balance ₹25,000 છે.",,,
0,"നിങ്ങളുടെ HDFC അക്കൗണ്ട് XXXXXX6789 ₹2,000 ഫെബ്രുവരി 06 - ജൂലൈ 2024 ൽ ശമ്പളം ലഭ്യമാണ്: ₹15,000.",,,
1,നിങ്ങളുടെ ഡ്രൈവർ ലൈസൻസ് അവസാനിച്ചു. http://license-renewal.com.,,,
1,আপনার বিনামূল্যে নিরাপত্তা দাবি করুন http://free-lic-insurance.com.,,,
1,Important: Update your KYC details at http://kyc-update.com to avoid account suspension.,,,
